phone,address,speciality,district,title
"
        (646) 681-1521
    ","
        137 W 96th St,Manhattan, NY 10023
    ","Skin Care,Dermatologists","
            Upper West Side        ",Schweiger Dermatology - Upper West Side
"
        (347) 508-6456
    ",,"Hair Extensions,Blow Dry/Out Services","
            Harlem        ",Loretta Grant
"
        (718) 408-0722
    ","
        New York City, NY 11374
    ","Makeup Artists,Permanent Makeup","
            Rego Park, Rego Park        ",Makeup By Diana NYC
"
        (347) 702-5606
    ","
        297 Van Sicklen St,Brooklyn, NY 11223
    ","Tattoo,Piercing","
            Gravesend        ",Inkheart Tattoo
"
        
    ","
        399 Somerset St,Harrison, NJ 07029
    ","Tacos,Cocktail Bars,Barbeque",,Takorea BBQ
"
        (201) 656-5555
    ","
        393 Central Ave,Jersey City, NJ 07307
    ",Meat Shops,,Pampita Meat Shop
"
        
    ","
        399 Somerset St,Harrison, NJ 07029
    ","Tacos,Cocktail Bars,Barbeque",,Takorea BBQ
"
        (201) 656-5555
    ","
        393 Central Ave,Jersey City, NJ 07307
    ",Meat Shops,,Pampita Meat Shop
"
        (201) 434-3840
    ","
        337 Grove St,Jersey City, NJ 07302
    ","Poke,Acai Bowls,Salad",,Tidal Poke Co. - Downtown
"
        (646) 861-0683
    ","
        3418 Broadway,New York, NY 10031
    ","Adult,Lingerie,Tobacco Shops","
            Harlem        ",Romantic Depot Manhattan
"
        (201) 967-9494
    ","
        19 Teterboro Lndg,Teterboro, NJ 07608
    ",Fast Food,,Chick-fil-A
"
        
    ","
        203 Washington St,Hoboken, NJ 07030
    ","Acai Bowls,Juice Bars & Smoothies",,Acai Ya Later
"
        (201) 683-6000
    ","
        932 Washington St,Hoboken, NJ 07030
    ",Men's Hair Salons,,Spesh
"
        (718) 676-5474
    ","
        62 E 161st St,Bronx, NY 10451
    ","Cosmetics & Beauty Supply,Wigs","
            Concourse Village        ",Bliss Beauty Supply
"
        (201) 641-4630
    ","
        388 US-46,South Hackensack, NJ 07606
    ","Coffee & Tea,Burgers,Breakfast & Brunch",,Cafe 46
"
        (201) 656-6600
    ","
        150 Bay St,Jersey City, NJ 07302
    ","American (New),Bars,Jazz & Blues",,Beat Street Restaurant
"
        (201) 451-1118
    ","
        285 First St,Jersey City, NJ 07302
    ","Bars,Cuban,American (Traditional)",,Hard Grove Cafe
"
        
    ","
        136-54 39th Ave,Queens, NY 11354
    ","Skin Care,Cosmetics & Beauty Supply","
            Downtown Flushing, Flushing        ",Etude House & Innisfree
"
        (201) 795-2600
    ","
        86 The Promenade,Edgewater, NJ 07020
    ","Pizza,Salad,Italian",,Izzy’s Pizzeria
"
        (973) 798-2426
    ","
        633 Franklin Ave,Nutley, NJ 07110
    ","Italian,Pizza",,Napoli Trattoria & Pizzeria
"
        (201) 944-8888
    ","
        310 Broad Ave,Palisades Park, NJ 07650
    ","Pizza,Korean,Chicken Wings",,Pizza Maru
"
        (973) 928-6777
    ","
        64 Market St,Clifton, NJ 07012
    ",Thai,,Lamoon’s Thai Restaurant
"
        (201) 688-3144
    ","
        29-31 Cottage St,Bayonne, NJ 07002
    ","Bars,American (Traditional)",,Bayonne Patio Bar & Grille
"
        (201) 944-8681
    ","
        2045 Lemoine Ave,Fort Lee, NJ 07024
    ","Korean,Buffets",,Koryeo Shabu Shabu
"
        (201) 356-9555
    ","
        283 Newark Ave,Jersey City, NJ 07302
    ",Poke,,POKAY
"
        (201) 363-1996
    ","
        201 Broad Ave,Palisades Park, NJ 07650
    ",Coffee & Tea,,Dupan Bakery Cafe
"
        
    ","
        12 Coles St,Jersey City, NJ 07302
    ","Mexican,Desserts",,Gringo’s
"
        (201) 309-0259
    ","
        515 Jersey Ave,Jersey City, NJ 07302
    ","Sushi Bars,Japanese,Thai",,East Village
"
        (201) 939-4400
    ","
        239 Stuyvesant Ave,Lyndhurst, NJ 07071
    ",Barbeque,,Ryan’s BBQ
"
        (201) 528-7142
    ","
        15 Park Ave,Rutherford, NJ 07070
    ",Italian,,Trattoria Giotto
"
        (201) 656-0777
    ","
        789 Newark Ave,Jersey City, NJ 07306
    ",Indian,,Persis Biryani Indian Grill
"
        (201) 592-7733
    ","
        304 Main St,Fort Lee, NJ 07024
    ",Ice Cream & Frozen Yogurt,,JINN Ice Cream Rolls
"
        (201) 472-9450
    ","
        7512 Broadway,North Bergen, NJ 07047
    ",Cuban,,Ron Y Lechon
"
        (201) 947-8888
    ","
        235 Main St,Fort Lee, NJ 07024
    ",Korean,,Yea Jip
"
        (347) 727-7680
    ","
        87-10 Rockaway Beach Blvd,Rockaway, NY 11693
    ",Bakeries,"
            Seaside        ",Rockaway Beach Bakery
"
        (973) 732-5869
    ","
        61 Halsey St,Newark, NJ 07102
    ","Cafes,Creperies,Juice Bars & Smoothies",,Sweet & Green cafe
"
        (201) 656-0777
    ","
        789 Newark Ave,Jersey City, NJ 07306
    ",Indian,,Persis Biryani Indian Grill
"
        (201) 592-7733
    ","
        304 Main St,Fort Lee, NJ 07024
    ",Ice Cream & Frozen Yogurt,,JINN Ice Cream Rolls
"
        (201) 472-9450
    ","
        7512 Broadway,North Bergen, NJ 07047
    ",Cuban,,Ron Y Lechon
"
        (201) 947-8888
    ","
        235 Main St,Fort Lee, NJ 07024
    ",Korean,,Yea Jip
"
        (347) 727-7680
    ","
        87-10 Rockaway Beach Blvd,Rockaway, NY 11693
    ",Bakeries,"
            Seaside        ",Rockaway Beach Bakery
"
        (973) 732-5869
    ","
        61 Halsey St,Newark, NJ 07102
    ","Cafes,Creperies,Juice Bars & Smoothies",,Sweet & Green cafe
"
        (862) 367-9266
    ","
        93 Halsey St,Newark, NJ 07102
    ",Coffee & Tea,,Black Swan Espresso
"
        (201) 991-2189
    ","
        190 Passaic Ave,Kearny, NJ 07032
    ","Sushi Bars,Japanese",,Sarku Japan
"
        (201) 933-0900
    ","
        66 Park Ave,Rutherford, NJ 07070
    ","Kebab,Mediterranean",,Kabob On The Cliff
"
        (347) 853-2986
    ",,"Barbeque,Burgers,Food Trucks",,Smokin Beast bbq
